Date,Open,High,Low,Close,Volume,MA_short,MA_long,+DM,-DM,TR,ATR,+DM_EMA,-DM_EMA,+DI,-DI,DX,ADX,trending,ma_signal,signal,position,trade_cost,market_ret,strategy_ret,strategy_ret_net,market_ret_net,cumulative_market,cumulative_strategy,portfolio_value,market_portfolio_value
2015-01-02,171.37853820221306,171.7937396125908,169.55164185979788,170.5896453857422,121465900,,,0.0,0.0,,,0.0,0.0,,,,,False,0,0,,0.0015,,,,,,,,
2015-01-05,169.5433034899103,169.709381481765,167.20157466159998,167.50881958007812,169632600,,,0.0,2.3500671981979053,3.38807072414221,,0.0,0.31334229309305406,,,,,False,0,0,0.0,0.0,-0.018059864059730035,-0.0,-0.0,-0.018059864059730035,0.98194013594027,1.0,10000.0,9819.4013594027
2015-01-06,167.8160193550773,168.3391769260789,165.13382312888098,165.93101501464844,209151400,,,0.0,2.067751532719001,3.2053537971979154,,0.0,0.5472635250431803,,,,,False,0,0,0.0,0.0,-0.009419232786578191,-0.0,-0.0,-0.009419232786578191,0.9726910132173643,1.0,10000.0,9726.910132173643
2015-01-07,167.25970616027502,168.33923217765732,166.81129428862295,167.99876403808594,125346700,,,5.5251578430670634e-05,0.0,2.408217163008885,,7.366877124089418e-06,0.474295055037423,,,,,False,0,0,0.0,0.0,0.012461498070478028,0.0,0.0,0.012461498070478028,0.9848122004017438,1.0,10000.0,9848.122004017438
2015-01-08,169.41042852129658,171.19580169970416,169.3938295925036,170.97988891601562,147217800,,,2.85656952204684,0.0,3.197037661618225,,0.3808823208997529,0.4110557143657666,,,,,False,0,0,0.0,0.0,0.017744921487957255,0.0,0.0,0.017744921487957255,1.0022876155782552,1.0,10000.0,10022.876155782551
2015-01-09,171.39513267833408,171.4117442821808,168.9952690955981,169.60977172851562,158567300,,,0.0,0.3985604969055032,2.4164751865826872,,0.3300980114464525,0.40938968537106485,,,,,False,0,0,0.0,0.0,-0.008013323649853299,-0.0,-0.0,-0.008013323649853299,0.9942559605243869,1.0,10000.0,9942.559605243869
2015-01-12,169.7426142329127,169.90039276888027,167.67490700581124,168.28109741210938,144396100,,,0.0,1.3203620897868689,2.225485763069031,,0.2860849432535922,0.5308526726265054,,,,,False,0,0,0.0,0.0,-0.007833713251692687,-0.0,-0.0,-0.007833713251692687,0.9864672444308525,1.0,10000.0,9864.672444308526
2015-01-13,169.5018318521555,170.63118027606808,166.50407694778815,167.8078155517578,214553300,,,0.0,1.1708300580230855,4.127103328279929,,0.24794028415311323,0.6161829906793828,,,,,False,0,0,0.0,0.0,-0.002812448145572355,-0.0,-0.0,-0.002812448145572355,0.9836928564585852,1.0,10000.0,9836.92856458585
2015-01-14,165.78990011381592,166.99399421006802,164.89307631509837,166.79469299316406,192991100,,,0.0,1.6110006326897803,2.914739236659443,,0.2148815795993648,0.7488253429474357,,,,,False,0,0,0.0,0.0,-0.006037397932048494,-0.0,-0.0,-0.006037397932048494,0.9777539112412312,1.0,10000.0,9777.539112412313
2015-01-15,167.43409031416195,167.74963470481038,165.1504830274808,165.26673889160156,176613900,,,0.7556404947423516,0.0,2.599151677329587,,0.2869827682850964,0.6489819638877776,,,,,False,0,0,0.0,0.0,-0.009160687754166896,-0.0,-0.0,-0.009160687754166896,0.9687970129599349,1.0,10000.0,9687.97012959935
