Date,Open,High,Low,Close,Volume,Stock Splits,MA_short,MA_long,signal,position,trade_cost,market_ret,strategy_ret,strategy_ret_net,market_ret_net,cumulative_market,cumulative_strategy,portfolio_value
2015-01-02,171.37849221415277,171.79369351311453,169.5515963619706,170.589599609375,121465900,0.0,,,0,,0.0015,,,,,,,
2015-01-05,169.54334982225583,169.70942785949592,167.20162035400406,167.5088653564453,169632600,0.0,,,0,0.0,0.0,-0.018059332221800783,-0.0,-0.0,-0.018059332221800783,0.9819406677781992,1.0,10000.0
2015-01-06,167.81603478720876,168.33919240631923,165.13383831436138,165.9310302734375,209151400,0.0,,,0,0.0,0.0,-0.009419412397369542,-0.0,-0.0,-0.009419412397369542,0.972691363678648,1.0,10000.0
2015-01-07,167.25970616027502,168.33923217765732,166.81129428862295,167.99876403808594,125346700,0.0,,,0,0.0,0.0,0.012461404965912859,0.0,0.0,0.012461404965912859,0.9848124646682936,1.0,10000.0
2015-01-08,169.41041340257112,171.19578642164635,169.39381447525952,170.97987365722656,147217800,0.0,,,0,0.0,0.0,0.017744830661163613,0.0,0.0,0.017744830661163613,1.0022877950868356,1.0,10000.0
2015-01-09,171.39511725892663,171.41172886127893,168.99525389209222,169.60975646972656,158567300,0.0,,,0,0.0,0.0,-0.008013324364987917,-0.0,-0.0,-0.008013324364987917,0.9942561378777363,1.0,10000.0
2015-01-12,169.74262962422395,169.90040817449798,167.67492220963433,168.28111267089844,144396100,0.0,,,0,0.0,0.0,-0.007833534028246047,-0.0,-0.0,-0.007833534028246047,0.9864675985888786,1.0,10000.0
2015-01-13,169.50181643932927,170.63116476055004,166.50406180754825,167.80780029296875,214553300,0.0,,,0,0.0,0.0,-0.0028126292393568786,-0.0,-0.0,-0.0028126292393568786,0.9836930309774093,1.0,10000.0
2015-01-14,165.78988494694778,166.99397893304638,164.89306123027387,166.794677734375,192991100,0.0,,,0,0.0,0.0,-0.006037398481030021,-0.0,-0.0,-0.006037398481030021,0.9777540841663865,1.0,10000.0
2015-01-15,167.43404393747144,167.74958824071888,165.15043728331472,165.26669311523438,176613900,0.0,,,0,0.0,0.0,-0.009160871557148731,-0.0,-0.0,-0.009160871557148731,0.9687970045868607,1.0,10000.0
2015-01-16,165.0591150213999,167.59184528107048,164.87642545047697,167.43406677246094,211879600,0.0,,,0,0.0,0.0,0.013114400829181694,0.0,0.0,0.013114400829181694,0.9815021968271234,1.0,10000.0
2015-01-20,168.07350209100636,168.33923703813153,166.2217076103842,167.79116821289062,130991100,0.0,,,0,0.0,0.0,0.002132788430176502,0.0,0.0,0.002132788430176502,0.983595533356709,1.0,10000.0
2015-01-21,167.3261457935656,169.11981868528147,166.8611223040703,168.63818359375,122942700,0.0,,,0,0.0,0.0,0.005048033158602916,0.0,0.0,0.005048033158602916,0.9885607562237474,1.0,10000.0
2015-01-22,169.39384594565314,171.27885089160938,168.01537446648058,171.14599609375,174356000,0.0,,,0,0.0,0.0,0.014870964846498413,0.0,0.0,0.014870964846498413,1.0032616084781787,1.0,10000.0
2015-01-23,170.8885499035164,171.1459853597701,170.074758882308,170.20762634277344,117516800,0.0,,,0,0.0,0.0,-0.005482861255267424,-0.0,-0.0,-0.005482861255267424,0.9977608642761564,1.0,10000.0
2015-01-26,169.9916961911345,170.6975306921512,169.2775495559707,170.60618591308594,92009700,0.0,,,0,0.0,0.0,0.002341608180998156,0.0,0.0,0.002341608180998156,1.0000972292786252,1.0,10000.0
2015-01-27,168.5468392954275,169.50179734487202,167.52544750857834,168.35585021972656,134044600,0.0,,,0,0.0,0.0,-0.013190235051065424,-0.0,-0.0,-0.013190235051065424,0.9869057117505209,1.0,10000.0
2015-01-28,169.54332997008572,169.64297424657383,166.00581877441243,166.19680786132812,168514300,0.0,,,0,0.0,0.0,-0.012824278785564025,-0.0,-0.0,-0.012824278785564025,0.9742493577679667,1.0,10000.0
2015-01-29,166.396083481987,167.9904550151743,164.98438887060598,167.7330322265625,173585400,0.0,,,0,0.0,0.0,0.009243404762119045,0.0,0.0,0.009243404762119045,0.9832547389210505,1.0,10000.0
