Date,Open,High,Low,Close,Volume,MA_short,MA_long,TR,ATR,ATR_pct,position_size_ratio,signal,actual_position_size,position,trade_cost,market_ret,strategy_ret,strategy_ret_net,market_ret_net,cumulative_market,cumulative_strategy,portfolio_value,market_portfolio_value
2015-01-02,171.37853820221306,171.7937396125908,169.55164185979788,170.5896453857422,121465900,,,,,,,0,0.0,,0.0015,,,,,,,,
2015-01-05,169.5433034899103,169.709381481765,167.20157466159998,167.50881958007812,169632600,,,3.38807072414221,3.38807072414221,0.02022622290954974,0.784527430922243,0,0.0,0.0,0.0,-0.018059864059730035,-0.0,-0.0,-0.018059864059730035,0.98194013594027,1.0,10000.0,9819.4013594027
2015-01-06,167.8160193550773,168.3391769260789,165.13382312888098,165.93101501464844,209151400,,,3.2053537971979154,3.3637084672163042,0.020271728386157074,0.7827663430674934,0,0.0,0.0,0.0,-0.009419232786578191,-0.0,-0.0,-0.009419232786578191,0.9726910132173643,1.0,10000.0,9726.910132173643
2015-01-07,167.25970616027502,168.33923217765732,166.81129428862295,167.99876403808594,125346700,,,2.408217163008885,3.236309626655315,0.019263889500530085,0.8237187353079984,0,0.0,0.0,0.0,0.012461498070478028,0.0,0.0,0.012461498070478028,0.9848122004017438,1.0,10000.0,9848.122004017438
2015-01-08,169.41042852129658,171.19580169970416,169.3938295925036,170.97988891601562,147217800,,,3.197037661618225,3.2310733646503698,0.01889738837201757,0.8396941621830852,0,0.0,0.0,0.0,0.017744921487957255,0.0,0.0,0.017744921487957255,1.0022876155782552,1.0,10000.0,10022.876155782551
2015-01-09,171.39513267833408,171.4117442821808,168.9952690955981,169.60977172851562,158567300,,,2.4164751865826872,3.1224602742413454,0.01840967205143866,0.861939672371819,0,0.0,0.0,0.0,-0.008013323649853299,-0.0,-0.0,-0.008013323649853299,0.9942559605243869,1.0,10000.0,9942.559605243869
2015-01-12,169.7426142329127,169.90039276888027,167.67490700581124,168.28109741210938,144396100,,,2.225485763069031,3.0028636727517037,0.01784433141292089,0.8892474774930376,0,0.0,0.0,0.0,-0.007833713251692687,-0.0,-0.0,-0.007833713251692687,0.9864672444308525,1.0,10000.0,9864.672444308526
2015-01-13,169.5018318521555,170.63118027606808,166.50407694778815,167.8078155517578,214553300,,,4.127103328279929,3.1527622934888004,0.018787934775996044,0.8445860008393832,0,0.0,0.0,0.0,-0.002812448145572355,-0.0,-0.0,-0.002812448145572355,0.9836928564585852,1.0,10000.0,9836.92856458585
2015-01-14,165.78990011381592,166.99399421006802,164.89307631509837,166.79469299316406,192991100,,,2.914739236659443,3.121025885911553,0.018711781711420912,0.8480232904173135,0,0.0,0.0,0.0,-0.006037397932048494,-0.0,-0.0,-0.006037397932048494,0.9777539112412312,1.0,10000.0,9777.539112412313
2015-01-15,167.43409031416195,167.74963470481038,165.1504830274808,165.26673889160156,176613900,,,2.599151677329587,3.0514426581006244,0.018463743391839208,0.8594154695359979,0,0.0,0.0,0.0,-0.009160687754166896,-0.0,-0.0,-0.009160687754166896,0.9687970129599349,1.0,10000.0,9687.97012959935
2015-01-16,165.05913006375218,167.5918605542384,164.8764404761802,167.43408203125,211879600,,,2.7154200780582016,3.0066396474283015,0.017957154307849582,0.883660429957619,0,0.0,0.0,0.0,0.013114212540189296,0.0,0.0,0.013114212540189296,0.981502022896192,1.0,10000.0,9815.020228961921
2015-01-20,168.07351737547063,168.33925234676153,166.2217227264478,167.7911834716797,130991100,,,2.117529620313718,2.888091643813024,0.017212415956887776,0.9218942149803132,0,0.0,0.0,0.0,0.002132788235808647,0.0,0.0,0.002132788235808647,0.9835953588640475,1.0,10000.0,9835.953588640476
2015-01-21,167.32610037334743,169.1197727781758,166.8610770100815,168.6381378173828,122942700,,,2.2586957680942987,2.804172193717194,0.01662833941367293,0.954276088653923,0,0.0,0.0,0.0,0.005047668942904204,0.0,0.0,0.005047668942904204,0.9885602226093703,1.0,10000.0,9885.602226093702
2015-01-22,169.39384594565314,171.27885089160938,168.01537446648058,171.14599609375,174356000,,,3.2634764251288004,2.8654127579054083,0.016742505365628293,0.9477689479536383,0,0.0,0.0,0.0,0.014871240330481594,0.0,0.0,0.014871240330481594,1.0032613392609486,1.0,10000.0,10032.613392609486
2015-01-23,170.8885499035164,171.1459853597701,170.074758882308,170.20762634277344,117516800,,,1.0712372114419964,2.626189351710287,0.015429328333511466,1.0,0,0.0,0.0,0.0,-0.005482861255267424,-0.0,-0.0,-0.005482861255267424,0.997760596535007,1.0,10000.0,9977.60596535007
2015-01-26,169.99171139496443,170.69754595911,169.27756469592828,170.606201171875,92009700,,,1.419981263181711,2.4653616065731434,0.01445059786595592,1.0,0,0.0,0.0,0.0,0.002341697829090661,0.0,0.0,0.002341697829090661,1.0000970503578652,1.0,10000.0,10000.970503578652
2015-01-27,168.5468240193283,169.50178198222102,167.52543232505212,168.3558349609375,134044600,,,3.0807688468228775,2.547415905273108,0.015131141168134554,1.0,0,0.0,0.0,0.0,-0.013190412748657399,-0.0,-0.0,-0.013190412748657399,0.9869053574749301,1.0,10000.0,9869.053574749301
2015-01-28,169.54329883800872,169.64294309619982,166.0057882919043,166.19677734375,168514300,,,3.6371548042955055,2.692714425142761,0.016201965333980786,0.9793890043209303,0,0.0,0.0,0.0,-0.012824370582038003,-0.0,-0.0,-0.012824370582038003,0.974248917441273,1.0,10000.0,9742.489174412729
2015-01-29,166.39611375631884,167.99048557958827,164.98441888809216,167.73306274414062,173585400,,,3.006066691496102,2.7344947273232068,0.01630265782181772,0.9733398608939468,0,0.0,0.0,0.0,0.009243773705750469,0.0,0.0,0.009243773705750469,0.9832546539671725,1.0,10000.0,9832.546539671725
2015-01-30,166.5538233866408,167.88245968739167,165.35804184631002,165.62376403808594,197729700,168.22504577636718,,2.5244178410816573,2.7064844758243334,0.01634116028906314,0.9710465117406548,0,0.0,0.0,0.0,-0.012575330537380136,-0.0,-0.0,-0.012575330537380136,0.970889901691118,1.0,10000.0,9708.89901691118
2015-02-02,166.12204738877088,167.7662410356698,164.30346361569946,167.67489624023438,163107000,168.0793083190918,,3.4627774199703367,2.8073235350438006,0.016742658549325346,0.9477602765260409,0,0.0,0.0,0.0,0.012384286844711268,0.0,0.0,0.012384286844711268,0.9829136807282943,1.0,10000.0,9829.136807282943
2015-02-03,168.57182335381395,170.10807410300268,168.1981445061842,170.09976196289062,124212900,168.20885543823243,,2.4331778627683036,2.7574374454070676,0.016210707255478917,0.978860850819854,0,0.0,0.0,0.0,0.014461709993737193,0.0,0.0,0.014461709993737193,0.9971282933278637,1.0,10000.0,9971.282933278637
2015-02-04,169.33572471440522,170.54811828639697,168.9952565509967,169.4519805908203,134306700,168.38490371704103,,1.5528617354002847,2.5968273507394968,0.015324856880900772,1.0,0,0.0,0.0,0.0,-0.00380824384816969,-0.0,-0.0,-0.00380824384816969,0.9933309856389619,1.0,10000.0,9933.30985638962
2015-02-05,170.1162948329842,171.31207672868194,170.04156163223797,171.16259765625,97953200,168.54309539794923,,1.8600961378616319,2.4985965223557813,0.014597795059022027,1.0,0,0.0,0.0,0.0,0.010094995995121314,0.0,0.0,0.010094995995121314,1.0033586579608171,1.0,10000.0,10033.58657960817
2015-02-06,171.52794148061264,172.09262177973125,170.16608186277418,170.68923950195312,125672000,168.5285629272461,,1.9265399169570685,2.4223223083026197,0.014191417779882382,1.0,0,0.0,0.0,0.0,-0.002765546683554887,-0.0,-0.0,-0.002765546683554887,1.0005838227518775,1.0,10000.0,10005.838227518776
2015-02-09,170.041503021563,170.76394905497295,169.51834545478468,169.9252471923828,87219000,168.54433670043946,,1.245603600188275,2.2654264805540407,0.013331900456141237,1.0,0,0.0,0.0,0.0,-0.004475925440874495,-0.0,-0.0,-0.004475925440874495,0.9961052841638949,1.0,10000.0,9961.052841638948
2015-02-10,170.96334239535142,171.9930338174349,169.9668488410305,171.73561096191406,96164200,168.7170623779297,,2.0677866250520935,2.2390744998204477,0.013037916174048543,1.0,0,0.0,0.0,0.0,0.010653883395453478,0.0,0.0,0.010653883395453478,1.006717673710972,1.0,10000.0,10067.17673710972
