Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02,171.37849221415277,171.79369351311453,169.5515963619706,170.589599609375,121465900,0.0,0.0,0.0
2015-01-05,169.54334982225583,169.70942785949592,167.20162035400406,167.5088653564453,169632600,0.0,0.0,0.0
2015-01-06,167.81603478720876,168.33919240631923,165.13383831436138,165.9310302734375,209151400,0.0,0.0,0.0
2015-01-07,167.25970616027502,168.33923217765732,166.81129428862295,167.99876403808594,125346700,0.0,0.0,0.0
2015-01-08,169.41041340257112,171.19578642164635,169.39381447525952,170.97987365722656,147217800,0.0,0.0,0.0
2015-01-09,171.39511725892663,171.41172886127893,168.99525389209222,169.60975646972656,158567300,0.0,0.0,0.0
2015-01-12,169.74262962422395,169.90040817449798,167.67492220963433,168.28111267089844,144396100,0.0,0.0,0.0
2015-01-13,169.50181643932927,170.63116476055004,166.50406180754825,167.80780029296875,214553300,0.0,0.0,0.0
2015-01-14,165.78988494694778,166.99397893304638,164.89306123027387,166.794677734375,192991100,0.0,0.0,0.0
2015-01-15,167.43404393747144,167.74958824071888,165.15043728331472,165.26669311523438,176613900,0.0,0.0,0.0
2015-01-16,165.0591150213999,167.59184528107048,164.87642545047697,167.43406677246094,211879600,0.0,0.0,0.0
2015-01-20,168.07350209100636,168.33923703813153,166.2217076103842,167.79116821289062,130991100,0.0,0.0,0.0
2015-01-21,167.3261457935656,169.11981868528147,166.8611223040703,168.63818359375,122942700,0.0,0.0,0.0
2015-01-22,169.39384594565314,171.27885089160938,168.01537446648058,171.14599609375,174356000,0.0,0.0,0.0
2015-01-23,170.8885499035164,171.1459853597701,170.074758882308,170.20762634277344,117516800,0.0,0.0,0.0
2015-01-26,169.9916961911345,170.6975306921512,169.2775495559707,170.60618591308594,92009700,0.0,0.0,0.0
2015-01-27,168.5468392954275,169.50179734487202,167.52544750857834,168.35585021972656,134044600,0.0,0.0,0.0
2015-01-28,169.54332997008572,169.64297424657383,166.00581877441243,166.19680786132812,168514300,0.0,0.0,0.0
2015-01-29,166.396083481987,167.9904550151743,164.98438887060598,167.7330322265625,173585400,0.0,0.0,0.0
2015-01-30,166.5538694200649,167.88250608803452,165.35808754923485,165.62380981445312,197729700,0.0,0.0,0.0
2015-02-02,166.12207762372358,167.76627156987308,164.30349351966183,167.6749267578125,163107000,0.0,0.0,0.0
2015-02-03,168.571717501736,170.10796728625976,168.19803888875214,170.0996551513672,124212900,0.0,0.0,0.0
2015-02-04,169.33569421776428,170.54808757140913,168.9952261156726,169.4519500732422,134306700,0.0,0.0,0.0
2015-02-05,170.11623417093082,171.31201564022268,170.0415009968338,171.16253662109375,97953200,0.0,0.0,0.0
2015-02-06,171.5280334832023,172.092714085199,170.16617313490204,170.6893310546875,125672000,0.0,0.0,0.0
2015-02-09,170.04156409847695,170.76401039138108,169.5184063437866,169.92530822753906,87219000,0.0,0.0,0.0
2015-02-10,170.96326644448823,171.99295740912893,169.96677333286186,171.73553466796875,96164200,0.0,0.0,0.0
2015-02-11,171.5694980684398,172.26703327799152,170.92178499229328,171.83522033691406,91087800,0.0,0.0,0.0
2015-02-12,172.6323726088295,173.54582041339742,171.86840384088927,173.48768615722656,97545900,0.0,0.0,0.0
2015-02-13,173.6122949702512,174.2516959129132,173.35485949500125,174.20187377929688,93670400,0.0,0.0,0.0
2015-02-17,173.88629969098562,174.6502812348143,173.63718904727858,174.47589111328125,76968200,0.0,0.0,0.0
2015-02-18,174.10221768649967,174.56724112991867,173.83648276400965,174.4925079345703,80652900,0.0,0.0,0.0
2015-02-19,173.89465793754007,174.73336022593895,173.75349097836056,174.36798095703125,91462500,0.0,0.0,0.0
2015-02-20,173.95274408655172,175.4889940619526,173.32994209721713,175.4142608642578,140896400,0.0,0.0,0.0
2015-02-23,175.16513100605164,175.38934326171875,174.78314022494982,175.38934326171875,74411100,0.0,0.0,0.0
2015-02-24,175.3146086280829,176.08688970444285,175.01566315835314,175.88758850097656,72472300,0.0,0.0,0.0
2015-02-25,175.7630397296052,176.2446748194243,175.3976605117466,175.73812866210938,73061700,0.0,0.0,0.0
2015-02-26,175.64678871208758,175.80456725788164,174.9243297219221,175.53053283691406,72697900,0.0,0.0,0.0
2015-02-27,175.4308817563562,175.6966167204569,174.88282556704436,174.93264770507812,108076000,0.0,0.0,0.0
2015-03-02,175.03230115309572,176.09521572331582,174.98247901245122,176.03709411621094,87491400,0.0,0.0,0.0
2015-03-03,175.60526699666443,176.08690210241457,174.45100770439885,175.3146209716797,110325800,0.0,0.0,0.0
2015-03-04,174.71674373745978,174.79148961924065,173.6040070284865,174.57557678222656,114497200,0.0,0.0,0.0
2015-03-05,174.89938004589757,175.04885909294708,174.25997920905664,174.7665252685547,76873000,0.0,0.0,0.0
2015-03-06,173.90293492350548,174.33474788284266,171.97640721504857,172.30856323242188,188128000,0.0,0.0,0.0
2015-03-09,172.50784425139392,173.37975686266643,172.35006572678242,173.02268981933594,89818900,0.0,0.0,0.0
2015-03-10,171.65259434369486,171.73562703369757,170.1744654787068,170.2159881591797,157121300,0.0,0.0,0.0
2015-03-11,170.47338017100276,170.6477703290347,169.73432220780225,169.81736755371094,110145700,0.0,0.0,0.0
2015-03-12,170.44841389412602,172.0427851858268,170.39859177109423,171.9763641357422,93993500,0.0,0.0,0.0
2015-03-13,171.70237931453718,172.66563686984932,169.88379527369824,170.9217987060547,162410900,0.0,0.0,0.0
2015-03-16,171.65251930450134,173.2967128307233,170.94667205785777,173.2053680419922,136099200,0.0,0.0,0.0
2015-03-17,172.46633948005277,173.07252990561386,171.87674798548153,172.6905517578125,94510400,0.0,0.0,0.0
2015-03-18,172.21718337229515,175.4391493029343,171.57776986451694,174.7665252685547,228808500,0.0,0.0,0.0
2015-03-19,174.35133586484864,174.77483663026706,173.57905485621723,173.96934509277344,117917300,0.0,0.0,0.0
2015-03-20,174.92108508126748,176.01376634142156,174.7375799979974,175.5049591064453,177715100,0.931,0.0,0.0
2015-03-23,175.5132729783155,176.08881041728557,175.16294860839844,175.16294860839844,71784500,0.0,0.0,0.0
2015-03-24,175.0378425022575,175.4965924373723,174.11198066589287,174.1787109375,77805300,0.0,0.0,0.0
2015-03-25,174.3872555336764,174.62080514368165,171.58464748611448,171.6263427734375,159521700,0.0,0.0,0.0
2015-03-26,170.959018529593,172.13510276882835,170.2583571643623,171.21759033203125,153067200,0.0,0.0,0.0
2015-03-27,171.10085769648754,171.78482075581417,170.90900337920792,171.6096649169922,118939000,0.0,0.0,0.0
2015-03-30,172.6439854479199,174.00358804274632,172.6273124212665,173.70330810546875,96180400,0.0,0.0,0.0
2015-03-31,172.87750824648245,173.57816980964458,172.1268148836293,172.18519592285156,126768700,0.0,0.0,0.0
2015-04-01,172.15183144393234,172.17685370669852,170.58370176392452,171.5762939453125,137303600,0.0,0.0,0.0
2015-04-02,171.5096426704183,172.64403243917602,171.32613750727333,172.19361877441406,86900900,0.0,0.0,0.0
2015-04-06,171.3010665658552,173.87012539250313,171.16761871671198,173.3529815673828,114368200,0.0,0.0,0.0
2015-04-07,173.3779652348547,174.12865853822265,172.86082152486782,172.89418029785156,81236300,0.0,0.0,0.0
2015-04-08,173.11942740696747,173.9201653909475,172.7273949279874,173.47808837890625,89351900,0.0,0.0,0.0
2015-04-09,173.31120887159955,174.47895666271535,172.8190874973076,174.2454071044922,85548900,0.0,0.0,0.0
2015-04-10,174.49568598921678,175.23804285485818,174.29550787645923,175.1963348388672,72722900,0.0,0.0,0.0
2015-04-13,175.05456560657154,175.68849700445406,174.35391664549235,174.40396118164062,74436600,0.0,0.0,0.0
2015-04-14,174.2037954858379,174.92113025272857,173.57821328427636,174.7376251220703,75099900,0.0,0.0,0.0
2015-04-15,175.20466881068924,176.0304289088538,175.12125278597637,175.52162170410156,99529300,0.0,0.0,0.0
2015-04-16,175.1879482946507,175.98034946217922,174.98775751156623,175.47154235839844,68934900,0.0,0.0,0.0
2015-04-17,174.27883693263118,174.5207230819322,172.6689990165912,173.45306396484375,191113200,0.0,0.0,0.0
2015-04-20,174.37890352344175,175.3714957139419,174.29550022262177,175.03785705566406,92189500,0.0,0.0,0.0
2015-04-21,175.72185153245826,175.88033437809258,174.52908102479145,174.82936096191406,72559800,0.0,0.0,0.0
2015-04-22,175.17133526551024,175.87199693342006,174.24547319157696,175.68849182128906,78264600,0.0,0.0,0.0
2015-04-23,175.28808032483272,176.78114323569324,175.17130552125977,176.1305389404297,102585900,0.0,0.0,0.0
2015-04-24,176.54762536390942,176.80619728062217,176.08886257901523,176.53927612304688,61327400,0.0,0.0,0.0
2015-04-27,177.10644540710808,177.23155672256055,175.61338249604708,175.80523681640625,79358100,0.0,0.0,0.0
2015-04-28,175.78023115153326,176.4141497555159,174.60413376522976,176.36410522460938,86863500,0.0,0.0,0.0
2015-04-29,175.4716261559631,176.23900543300977,174.82937095090892,175.63845825195312,125684900,0.0,0.0,0.0
2015-04-30,175.06289765178974,175.45493011644547,173.17780212535993,173.8784637451172,161304900,0.0,0.0,0.0
2015-05-01,174.66251918714363,175.8052578239885,174.56243012282167,175.7635498046875,103399700,0.0,0.0,0.0
2015-05-04,176.1889585527394,176.84791223163398,176.08053296478977,176.2640380859375,70927200,0.0,0.0,0.0
2015-05-05,176.02206377650785,176.38073735145537,174.103610067535,174.2454071044922,113326200,0.0,0.0,0.0
2015-05-06,174.7959103770925,175.1045266879215,172.4604022257632,173.52806091308594,135060200,0.0,0.0,0.0
2015-05-07,173.42802707246523,174.64583241167458,173.09438839932545,174.22042846679688,88244900,0.0,0.0,0.0
2015-05-08,175.8970036072923,176.71442729863688,175.81358757189997,176.5142364501953,155877300,0.0,0.0,0.0
2015-05-11,176.47253408141242,176.73944247446167,175.5967166549236,175.67178344726562,75708100,0.0,0.0,0.0
